,timestamp,open,high,low,close,volume
446,2018-03-08,2.0,2.31,1.97,2.17,580525
447,2018-03-07,1.75,1.95,1.74,1.93,259762
448,2018-03-06,1.79,1.8,1.73,1.75,109274
449,2018-03-05,1.78,1.82,1.75,1.78,86905
450,2018-03-02,1.65,1.779,1.6318,1.75,76734
451,2018-03-01,1.7,1.77,1.66,1.69,90663
452,2018-02-28,1.74,1.779,1.65,1.69,100133
453,2018-02-27,1.7,1.84,1.7,1.73,122642
454,2018-02-26,1.69,1.73,1.61,1.68,228822
455,2018-02-23,1.62,1.72,1.62,1.65,98505
456,2018-02-22,1.7,1.7007,1.5732,1.63,123911
457,2018-02-21,1.74,1.75,1.61,1.64,166490
458,2018-02-20,1.7,1.83,1.647,1.69,228633
459,2018-02-16,1.51,1.69,1.47,1.65,156950
460,2018-02-15,1.59,1.59,1.5,1.52,119198
461,2018-02-14,1.53,1.62,1.5199,1.5645,77251
462,2018-02-13,1.5,1.54,1.4901,1.52,80577
463,2018-02-12,1.49,1.54,1.4683,1.5,116894
464,2018-02-09,1.6,1.6,1.43,1.455,268368
465,2018-02-08,1.64,1.64,1.55,1.6,216449
466,2018-02-07,1.68,1.99,1.61,1.63,1127170
467,2018-02-06,1.4,1.7,1.4,1.67,524102
468,2018-02-05,1.4,1.48,1.36,1.45,202297
469,2018-02-02,1.45,1.45,1.33,1.41,238007
470,2018-02-01,1.38,1.5,1.3377,1.44,360460
471,2018-01-31,1.35,1.36,1.28,1.35,238288
472,2018-01-30,1.4,1.4,1.2801,1.3,206169
473,2018-01-29,1.3,1.44,1.26,1.42,595656
474,2018-01-26,1.16,1.34,1.16,1.25,275183
475,2018-01-25,1.19,1.22,1.15,1.17,250667
476,2018-01-24,1.2,1.2329,1.16,1.17,326303
477,2018-01-23,1.17,1.2,1.1562,1.16,55556
478,2018-01-22,1.13,1.1899,1.12,1.16,190060
479,2018-01-19,1.0906,1.15,1.0906,1.12,31475
480,2018-01-18,1.132,1.2,1.07,1.115,133395
481,2018-01-17,1.14,1.1805,1.12,1.12,106644
482,2018-01-16,1.23,1.23,1.12,1.15,132043
483,2018-01-12,1.18,1.21,1.16,1.19,42570
484,2018-01-11,1.15,1.204,1.15,1.185,133221
485,2018-01-10,1.21,1.2376,1.12,1.15,123197
486,2018-01-09,1.17,1.2,1.17,1.1898,258898
487,2018-01-08,1.16,1.199,1.07,1.1742,185159
488,2018-01-05,1.08,1.2,1.08,1.189,378364
489,2018-01-04,1.04,1.07,1.04,1.07,36942
